,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
69,非常有特色的鱼，甚至都不需要说价格，很值得一试｜真探来了,https://www.bilibili.com/video/BV1QD4y1b7D9,真探来了,0,411472,862,591,13032,0,448,978
70,老板的便衣伪装技术已经炉火纯青,https://www.bilibili.com/video/BV1YV4y1g7rN,下铺阿豪爱偷吃,0,322783,55,55,24798,0,59,822
71,你吃过会爆炸的板栗吗？,https://www.bilibili.com/video/BV1FV4y1V7Kh,江寻千,0,225061,767,2814,28992,0,435,2142
72,蒜蓉辣椒酱配海螺真的绝配，蒜香加上适口的辣度和海螺的弹牙，口腔盛宴。,https://www.bilibili.com/video/BV1GD4y1C7jf,张非人耶,0,1230128,274,2430,116175,0,402,5825
73,河北父子卖全驴，一斤才卖60元，挑战全国最低价，旺季日卖20头,https://www.bilibili.com/video/BV1Ve4y147vM,探味小幺,0,1407853,1635,531,43072,0,735,2272
74,把20盒食玩揉成一个大汉堡！肉香四溢！,https://www.bilibili.com/video/BV1QR4y1Q7uM,闲D嘞,0,321036,430,1643,8858,0,81,4184
75,德国室友初尝中国白酒，这是喝完后他大脑产生的变化,https://www.bilibili.com/video/BV1AP411P787,黄姐夫在德国,0,1528540,5644,35564,222529,0,958,8820
76,有些当，我先上为敬了！,https://www.bilibili.com/video/BV1p84y1B7gv,是洋仔呀_,0,1796415,126,1042,66092,0,1056,26983
77,街头偶遇最近超火的网红热奶宝！小姐姐真的敲温柔～,https://www.bilibili.com/video/BV1fG411w7Md,尔东木子_,0,396630,74,98,9194,0,250,522
78,有一个爱做饭的室友是什么体验？,https://www.bilibili.com/video/BV1mW4y1j7Ai,李哥我饿了,0,231831,130,936,29182,0,741,951
79,雪 花 只 因 柳 ！,https://www.bilibili.com/video/BV1o8411a7xo,赖皮猴爱美食,0,217649,569,3139,17137,0,676,4337
80,这锅肉，我愿称之为天花板！,https://www.bilibili.com/video/BV1pP4y1S7Yy,Amoy硬邦帮,0,292995,1597,12633,21507,0,2927,3463
81,河南小伙想爆核桃，大叔一口回绝，结果大叔吃的最香！,https://www.bilibili.com/video/BV19e4y177kV,豫小恩,0,1182539,4220,4638,52142,0,2030,3644
82,在上海吃顶级小海鲜，食材丰富多彩做法千变万化。,https://www.bilibili.com/video/BV1M8411Y7aZ,渣叔爱酒,0,303071,743,3450,21598,0,398,1158
83,异灵术硬核COS威尔逊！挑战吃饥荒食谱的一天~,https://www.bilibili.com/video/BV1s14y1L7Pq,牢头养猪记,0,145130,1484,16308,18657,0,1986,2222
84,盒马帝王蟹打折只要888元！小伙自制糟粕醋海鲜火锅，鲍鱼黑虎虾畅吃！,https://www.bilibili.com/video/BV1DR4y1Q7Jt,章余飞不是章鱼飞,0,597036,1761,28746,45260,0,1536,5116
85,今天做一盆螃蟹钳，味道很甜很好吃，我家又被小偷盯上了,https://www.bilibili.com/video/BV1Lv4y1D7Ev,非洲飞哥,0,242172,2619,5474,18118,0,190,633
86,鸡蛋灌饼的正确吃法！！,https://www.bilibili.com/video/BV1MP4y1U7Ry,上班族的便当,0,264261,524,1294,15771,0,576,2771
87,带拉丝的饭团卷看完直流口水，保证对象喜欢吃！,https://www.bilibili.com/video/BV1tW4y1E7hF,__周壹,0,255871,73,1935,37331,0,1644,24110
88,熬了20多天在家酿出了几罐精酿啤酒，开罐的那一刻绝了！,https://www.bilibili.com/video/BV1Dv4y1S7uo,苟宋本苟,0,228277,92,901,30620,0,261,1902
89,100斤葛根能出多少粉？,https://www.bilibili.com/video/BV1s84y1B7Cd,高彩萍和乔老爷,0,722320,664,13977,100899,0,674,3828
90,炸了点儿小串~最爱的鸡腿~要了份梅菜扣肉 点了份青椒肉丝盖浇饭正好搭配着一起吃~,https://www.bilibili.com/video/BV1uv4y1D7ST,小必有点饿_,0,238207,364,417,22622,0,341,746
91,富二代要吃五百块钱一份的盖饭，还说什么贵做什么，厨师听完乐啦,https://www.bilibili.com/video/BV17e4y127Cd,草原二蛋,0,642008,588,826,10912,0,125,1297
92,成也网红败也网红，盘点10种过气美食，你可能没吃过但绝对听说过,https://www.bilibili.com/video/BV1HP411P7wx,你的鱼鱼O,0,450905,746,67,2208,0,45,1479
93,对不起兄弟们，忘记更新、我回来了,https://www.bilibili.com/video/BV1QR4y1Q73L,小马吃草R,0,231618,229,1646,20813,0,292,542
94,啰啰啰！请大家吃西餐了！快来吃啊。,https://www.bilibili.com/video/BV1bD4y1b74z,齐先森plus,0,395745,19,230,1737,0,44,112
95,老外第一次吃中国零食，吃了一口，竟然大喊CHINA NO.1 ？！,https://www.bilibili.com/video/BV1x84y1B765,杰里德Jared,0,2982884,6872,9546,65954,0,653,40336
96,为了薅来的萝卜去钓鱼，钓完发现萝卜它不配,https://www.bilibili.com/video/BV1ke411G7yw,荷塘星星,0,155400,2336,12645,17885,0,288,1104
97,一口爆汁的鸡胸肉串！炸串这样做，一秒香回小时候~,https://www.bilibili.com/video/BV1jd4y1c7EZ,夏叔厨房,0,137270,34,765,24913,0,457,11321
98,今天这道脆皮多汁的碳烤狮头鹅，我都没吃过，你们见过吗？,https://www.bilibili.com/video/BV13e4y147rN,胖娃老四,0,237227,489,1641,23341,0,215,741
99,陕西拉条子为什么怎么使劲摔都不断？只加盐真的能做出来吗？做面食，其实手法才是基础,https://www.bilibili.com/video/BV1yP4y1S7QG,品诺美食开课啦,0,202740,554,1970,12161,0,952,2976
