,视频标题,视频地址,作者,综合得分,播放数,弹幕数,投币数,点赞数,点踩数,分享数,收藏数
75,200人废弃食品加工厂对战，高楼对狙秒变轰炸区，敌人瞬间懵逼,https://www.bilibili.com/video/BV1N8411Y7X3,玩玩具的卫生员,0,175288,156,78,4899,0,475,1123
76,博尔特见了都甘拜下风的鞋，爆改切尔西,https://www.bilibili.com/video/BV1ZK411U7mR,莆田二师兄的邪,0,185395,47,47,5188,0,549,294
77,可能生活从来如此，我不是没能力，只是缺一个机会,https://www.bilibili.com/video/BV1a84y1i7aA,篮球外传,0,255014,27,29,4802,0,12,154
78,徐通vs照洋,https://www.bilibili.com/video/BV1b14y1L76F,张照洋,0,121467,176,329,14271,0,69,438
79,每周足坛电子厂！先有费兰后有天，左右互搏赛神仙,https://www.bilibili.com/video/BV1hg41167Bj,爱穿小脚裤的花轮,0,123442,1581,4133,9250,0,739,937
80,100KG硬拉挑战，拉起来奖励2000元，你能完成吗？,https://www.bilibili.com/video/BV1N8411Y7NZ,街健大飞,0,178050,956,712,4618,0,259,194
81,隔扣魏师傅计划完成！果然，助攻是两个人的快乐！,https://www.bilibili.com/video/BV16R4y1Q7dZ,野球帝王师傅,0,128233,55,207,14612,0,21,228
82,太搞笑！卢克-科内特奇葩防守引热议，高高跃起不防投篮防篮筐,https://www.bilibili.com/video/BV19K411U7jc,安与篮球,0,198035,191,49,2561,0,1533,255
83,滴血认主后的漂移板，耍起来就是格外的放心,https://www.bilibili.com/video/BV1Xt4y1M7mh,玩漂移板的June,0,1316093,206,1508,139223,0,2946,10222
84,听说有人说我用替身下水？,https://www.bilibili.com/video/BV1jG4y1h7CX,鎏酸的鎏念liu,0,195061,46,71,7032,0,30,1487
85,日常,https://www.bilibili.com/video/BV1Ge4y147bc,谢无心001,0,169371,70,59,1834,0,108,1293
86,来自鹏哥的投篮机！,https://www.bilibili.com/video/BV1kG4y1h7Rk,杨策YC1,0,123484,47,172,12556,0,23,197
87,这是所有球迷来到卡塔尔西湾看到的第一栋建筑,https://www.bilibili.com/video/BV1CW4y1j7Ww,卡塔尔场场现场,0,125347,44,179,10827,0,199,613
88,坚持社牛自律的641天，土味情话被反杀了！,https://www.bilibili.com/video/BV1tD4y1b781,猛男自我修养,0,134105,571,1638,7714,0,450,544
89,初来乍到，先发个自己的集锦🫡,https://www.bilibili.com/video/BV1md4y1k743,宋亚东UFC,0,136741,241,3271,10484,0,194,786
90,这不是钓鱼，这是进货,https://www.bilibili.com/video/BV1we4y1v75d,钓鱼视频剪辑,0,169866,304,120,7538,0,886,513
91,抛投技巧分享！节奏后卫必备武器库技能之一！大家一起练起来！,https://www.bilibili.com/video/BV11g411z7vm,凯瑞图Carry2,0,116262,81,447,11360,0,402,3198
92,校运会5000年第一圈被人带偏节奏，第1km2分57，一看手表吓一跳，及时调整，手记16分28完赛,https://www.bilibili.com/video/BV1eV4y1G7bo,小付同学ii,0,379752,40,154,20962,0,137,601
93,看看远古的人类是怎么打篮球的,https://www.bilibili.com/video/BV1Wg411z7vb,细狗剪个球,0,282016,95,141,3439,0,43,3729
94,暮年科比战绩也差？能别拿詹姆斯碰瓷老科吗？两者根本不是一码事！,https://www.bilibili.com/video/BV1vV4y1g75P,比不中说篮球,0,92929,720,4071,7684,0,378,525
95,师爷练的时候是让木桩跟着他走,https://www.bilibili.com/video/BV1yt4y1M73n,酒武大侠,0,3479365,427,2045,179704,0,722,14285
96,CBA改变吹罚鼓励对抗以后，各球队在战术执行方面却显得较为艰难,https://www.bilibili.com/video/BV1A14y1L7TQ,铁匠篮球,0,126572,136,455,9112,0,1994,668
97,【草根解说】巴黎VS特鲁瓦 全场比赛内容,https://www.bilibili.com/video/BV11K411U7RH,白马繁华,0,110243,1253,3418,6439,0,338,631
98,高龄乔丹单挑后仰跳投,https://www.bilibili.com/video/BV1RR4y1Q7WB,篮梦俱乐部,0,204696,14,28,6484,0,10,161
99,健身房老板：小子别死我健身房里了,https://www.bilibili.com/video/BV1HW4y1J71a,阿岚瘦了没,0,890037,86,119,15896,0,875,1061
